140.112.68,7811
202.32.50,159922
149.159.22,67951
198.69.241,34462
202.96.29,10296
168.95.125,156621
141.192.85,43782
149.250.222,4254
203.251.228,3785626
132.74.12,69622
130.95.42,9566
136.210.122,3710
202.46.240,20658
193.145.151,88485
152.165.111,7758
168.154.26,11747
203.249.9,88045
147.46.54,100761
129.132.182,97879
202.244.226,13205
164.155.1,271513
192.239.68,11747
193.78.67,6085
134.67.162,159505
144.207.78,134184
140.112.34,10297
167.193.53,117812
134.243.205,100679
128.159.144,17074
152.123.194,16636
152.160.78,17331
130.101.13,86425
155.206.3,9785
192.48.125,310715
131.167.25,814914
170.142.111,207919
140.96.17,24866
131.110.56,37512
192.58.206,115587
128.23.160,11747
198.185.178,11747
146.167.189,11747
204.27.135,8486
198.102.1,78317
155.75.107,19910
159.105.44,33203
156.98.205,1997426
155.75.105,13336
205.133.189,60244
146.83.128,1802
139.121.79,134858
143.166.206,232810
199.111.26,16635
142.142.64,53501
134.67.247,31613
199.190.112,4889
38.12.1,202827
128.159.128,1052103
131.44.53,4889
165.113.166,26475
156.63.59,422796
158.111.64,11747
158.111.97,18257
129.53.76,1140
146.64.37,55178
155.76.34,8718
146.138.35,24439
205.168.13,2258
149.252.214,334712
140.183.199,35176
198.59.241,5882
136.205.176,39957
168.29.232,18900
130.206.105,29733
157.182.94,23999
138.26.154,11747
163.234.112,275863
155.78.168,11747
147.154.93,22125
156.63.155,14465
192.107.65,11747
204.255.92,118463
149.123.103,15820
193.144.48,9502
163.191.186,165420
131.182.154,11747
199.11.48,38378
198.109.184,14450
131.92.168,225021
193.56.6,10301
204.171.110,100725
134.186.194,128164
129.93.236,11747
128.144.102,521757
129.93.226,19259
141.173.58,177600
134.186.191,24166
155.75.31,28468
198.88.26,220449
149.4.13,0
139.121.50,598
156.63.91,322674
146.138.145,2750332
199.11.62,32331
150.192.45,5226
164.156.42,14450
128.227.109,19910
148.224.17,517280
204.7.162,1463223
128.227.144,93175
159.238.227,25393
165.1.8,74884
157.145.93,45500
158.185.86,50414
137.187.102,5327
204.130.16,758336
131.178.9,83630
128.104.66,4889
163.234.188,12588
148.129.52,8802
134.156.8,61456
131.126.30,175957
134.136.91,14416
167.21.131,32036
192.231.222,14963
155.206.19,15340
160.80.14,340602
156.98.168,20464
205.216.162,4888
128.150.157,35238
149.168.25,136269
141.211.86,14484
198.109.24,36851
129.190.221,15154
163.178.128,9185
152.120.119,11746
155.79.153,68101
141.173.36,52522
129.93.222,11746
155.82.161,82766
129.228.127,35792
192.217.118,18323
165.13.6,9384
192.231.202,56431
164.167.106,137252
128.165.180,92188
192.249.10,102607
129.162.205,23009
128.163.17,212306
146.142.48,81406
150.216.67,7512
163.191.129,11515
204.185.50,131631
162.15.100,16040
162.80.100,84489
156.41.19,798931
163.191.195,7512
129.162.13,43686
129.219.187,16530
156.63.99,204090
144.92.46,24476
128.255.51,32988
143.202.74,11746
149.168.50,64249
149.168.51,531611
137.161.153,39435
199.222.162,47666
194.90.3,4888
128.220.72,11746
134.116.4,4449
138.145.14,24576
204.4.34,30842
152.35.128,14709
128.180.28,5388
132.175.136,19488
198.83.164,7030
128.159.146,18181
194.158.224,11746
134.20.176,116624
142.227.56,15204
139.104.10,85385
153.90.241,38313
142.2.32,34314
129.243.129,104910
198.106.169,788749
146.114.41,77075
192.88.13,166495
192.195.68,38602
128.253.25,269703
144.92.184,34212
146.114.111,8280
128.158.53,73249
128.97.218,93203
204.240.48,25938
140.90.166,73392
128.163.10,12130
131.178.81,152564
134.186.133,103336
156.63.173,11746
149.25.57,93917
142.36.4,10925
165.235.39,11746
134.67.41,69511
161.225.48,2624
147.97.8,17563
204.5.81,24376
204.91.136,306466
157.142.200,31060
200.12.140,0
131.247.150,11808
134.243.230,15663
204.97.2,2469
192.234.8,59544
204.233.135,45905
205.216.194,0
155.95.69,4914
142.94.10,11808
129.130.232,454963
162.43.14,15680
199.89.158,3508
159.238.20,104754
137.243.44,52225
128.120.68,61554
192.147.170,15209
164.159.7,307570
205.217.0,4950
160.69.35,393035
139.102.65,86042
203.2.83,10788
192.102.13,9279
192.74.216,15081
199.77.66,112011
129.93.229,11808
163.13.143,11577
204.120.34,32988
199.1.106,60892
198.102.67,3182052
192.122.180,68165
131.95.119,46091
199.170.121,9234
155.81.101,11808
205.218.98,88805
139.230.166,95929
204.165.200,41943
204.176.47,26174
141.243.1,1754204
131.215.67,32988
131.170.154,12588
161.122.12,3008684
137.132.52,2235
157.22.192,7513
138.25.148,45491
204.188.47,162121
204.62.245,240139
203.1.203,73853
140.120.29,11516
131.203.13,4889
131.181.38,35339
140.115.3,4889
192.146.118,147980
141.244.142,4889
137.44.6,9606
130.158.72,40575
192.228.164,7758
194.20.235,211300
157.190.64,141854
206.26.139,114429
147.46.42,19645
205.197.136,4889
131.92.128,136556
129.190.44,47742
152.123.183,23494
163.234.52,2873
149.168.105,6255
204.97.68,123110
155.84.91,542290
128.227.152,343634
132.170.199,114859
142.106.186,11516
